Feature,Importance
Def Success,7.012310586945302
Spread Line,6.939147037133099
Def Early Pass Epa,2.5670974489324494
Def Rush Epa,2.5279536563661478
Off Success,1.6099462351176692
Off Rush Epa,1.2088571093161462
Exp To Margin,0.9353371233206621
Off Early Pass Epa,0.7844246626338167
Def Explosive,0.7120307616466346
Total Line,0.6666986648594188
Off Explosive,0.4324237760475734
